id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
1477,Katingan Peatland Restoration and Conservation Project,Indonesia,forest,REDD; WRC,7125679,150713.8606921237,103.06269665643485,729.3034313645692,607.6308451308452,43185.933333333334,-626.2407347081344,-0.014501035091089869,,,RED_FLAG_NEGATIVE,ok
934,The Mai Ndombe REDD+ Project,"Congo, The Democratic Republic of The",forest,REDD,5671613,301078.4017641664,802.8066708984,1741.6232128277636,116.94179632049627,34373.412121212124,-938.8165419293637,-0.02731228830640331,,,RED_FLAG_NEGATIVE,ok
2278,The Jaguar Amazon REDD+ Project,Peru,forest,REDD,3751851,184256.58317169402,38.8584793451239,75.3721787129174,93.96584730836972,22738.49090909091,-36.51369936779351,-0.0016058101442956898,,,RED_FLAG_NEGATIVE,ok
1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Colombia,forest,REDD,3622352,4183.131305995186,0.7658782739974135,2.9488361351772068,285.0267379679144,21953.648484848483,-2.1829578611797933,-9.943485533561231e-05,,,RED_FLAG_NEGATIVE,ok
1571,Manoa REDD+ Project,Brazil,forest,REDD,2827041,37860.187281919294,8.83960017600784,44.987685744247685,408.9334907516725,17133.581818181818,-36.14808556823984,-0.00210977984357481,,,RED_FLAG_NEGATIVE,ok
2293,NIHT Topaiyo REDD +,Papua New Guinea,forest,REDD,2262521,1418.0016751529297,0.0,14.11062670863561,,13712.248484848486,-14.11062670863561,-0.001029052727875178,,,RED_FLAG_NEGATIVE,ok
1122,April Salumei Rainforest Community Conservation Project,Papua New Guinea,forest,IFM; REDD,1628812,199005.67352022472,29.732334497104482,115.10270322505588,287.12971978794764,9871.58787878788,-85.37036872795139,-0.008648088815720892,,,RED_FLAG_NEGATIVE,ok
2502,TAHUAMANU AMAZON REDD PROJECT,Peru,forest,REDD,1575108,171079.75325115345,21.163514428129886,212.6167191977605,904.6380525304291,9546.10909090909,-191.4532047696306,-0.020055627161432135,,,RED_FLAG_NEGATIVE,ok
1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,Cambodia,forest,REDD,1426648,189116.34054645646,202.83502960536063,1233.9834609533668,508.3680236861584,8646.351515151515,-1031.1484313480062,-0.119258213078784,,,RED_FLAG_NEGATIVE,ok
1899,Sumatra Merang Peatland Project (SMPP),Indonesia,forest,ARR; WRC,1338569,23089.954384842826,701.84158198087,1480.5498875016356,110.95214725279565,8112.539393939394,-778.7083055207655,-0.09598823102202897,,,RED_FLAG_NEGATIVE,ok
1340,Bale Mountains Eco-region REDD+ project,Ethiopia,forest,REDD,1288821,648726.1276195924,584.8091761268189,602.5510022403988,3.033780391594353,7811.036363636364,-17.74182611357992,-0.002271379275120972,,,RED_FLAG_NEGATIVE,ok
1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Brazil,forest,REDD,1259646,22153.46722553429,0.793342691778327,11.386903328265682,1335.30701754386,7634.218181818182,-10.593560636487355,-0.0013876418493929355,,,RED_FLAG_NEGATIVE,ok
1408,Chyulu Hills REDD+ Project,Kenya,forest,REDD,1100943,413418.274136286,9.367294506007264,16.794668795854605,79.29049615216167,6672.381818181818,-7.427374289847341,-0.001113151868738719,,,RED_FLAG_NEGATIVE,ok
