ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,117582,III,NJ,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Delivery Module Lead,Software Quality Assurance Analysts and Testers,113277,II,CA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Programmers,121800,III,TN,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,94682,II,NJ,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,130083,IV,MN,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,94682,II,NJ,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Program and Project Mgmt Manager,Computer Systems Analysts,144227,IV,OR,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Programmers,121800,III,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,104062,III,CT,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,93538,II,AZ,5
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Test Consultant 2,Software Quality Assurance Analysts and Testers,121200,II,PA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,94682,II,NJ,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Application Developer,Computer Systems Analysts,106184,III,DE,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,5
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Solution Architect L1,Computer Systems Engineers/Architects,90605,II,TX,6
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Business Sales & Delivery Executive,Management Analysts,251643,IV,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Scrum Specialist,Information Technology Project Managers,105832,II,GA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Tech Architecture Assoc Manager,Computer Programmers,137800,III,CA,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Test Consultant 3,Software Quality Assurance Analysts and Testers,128000,III,TX,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,System Engineer L4,Network and Computer Systems Administrators,92622,II,WA,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,92581,II,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Systems Analysts,161138,IV,WA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,112216,III,NC,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,158974,IV,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144144,IV,AZ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,158974,IV,NJ,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Technical Lead,Information Technology Project Managers,92581,II,TX,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Applications Consultant 3,Software Developers,150600,III,NC,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Tech Architecture Assoc Manager,Computer Programmers,156900,III,NY,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,80974,II,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,86798,II,NC,1
