cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
952347N57,West Contra Costa Unified,Contra Costa,4.0,2046-08-01,97.18,0.042089999999999995,0.0846,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),106,15,REVIEW,False
952347U42,West Contra Costa Unified,Contra Costa,4.0,2042-08-01,99.837,0.04013,0.0807,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),32,8,REVIEW,False
952347U59,West Contra Costa Unified,Contra Costa,4.0,2043-08-01,98.987,0.040819999999999995,0.082,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),85,12,REVIEW,False
952347U75,West Contra Costa Unified,Contra Costa,4.0,2045-08-01,97.415,0.04197,0.0844,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),69,15,REVIEW,True
952347W73,West Contra Costa Unified,Contra Costa,4.0,2042-08-01,99.081,0.040780000000000004,0.082,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),22,3,REVIEW,False
952347W99,West Contra Costa Unified,Contra Costa,4.0,2044-08-01,99.046,0.040650000000000006,0.0817,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),28,7,REVIEW,False
95330PHH1,W HILLS CMNTY CLG-B,,4.0,2041-08-01,99.276,0.04095,0.0823,False,99.2,98.0,0.751,Very High,,,UNZONED,90,CC-UNKNOWN,104,14,FLAG,False
956409AW6,essential-service water/wastewater revenue,,4.0,2041-10-01,99.156,0.04076,0.0819,False,,,,,,,UNZONED,,N/A-REVENUE,22,2,CLEAR,False
956409AX4,essential-service water/wastewater revenue,,4.0,2046-10-01,97.853,0.04157,0.0836,False,,,,,,,UNZONED,,,60,14,UNSCREENED,False
95640HJL3,W VLY-MISSION CLG-A,,4.0,2044-08-01,99.75,0.040190000000000003,0.0808,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,76,11,CLEAR,False
959214HE0,Western Placer Unified,Placer,4.0,2043-08-01,97.843,0.041769999999999995,0.084,False,99.2,84.4,0.165,Very High,0.54,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),44,8,REVIEW,False
95942THD2,essential-service water/wastewater revenue,,4.0,2035-09-01,102.648,0.03331,0.067,False,,,,,,,UNZONED,,,21,1,UNSCREENED,False
95942THH3,essential-service water/wastewater revenue,,4.0,2039-09-01,102.749,0.0374,0.0752,False,,,,,,,UNZONED,,,17,1,UNSCREENED,False
960621LB4,Westminster,Orange,4.0,2044-08-01,99.346,0.04066,0.0817,False,99.2,18.2,0.0,Very Low,1.6,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),33,7,REVIEW,False
966765PC7,Whittier City,Los Angeles,4.0,2044-08-01,99.066,0.040650000000000006,0.0817,False,99.2,42.5,0.0,Relatively Moderate,2.1,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),51,11,REVIEW,False
966782TB0,CA school/CC district GO,,2.0,2038-08-01,77.226,0.04714,0.0733,True,,,,,,,UNZONED,,,38,2,UNSCREENED,False
966782TD6,CA school/CC district GO,,4.0,2040-08-01,98.929,0.03902,0.0784,False,,,,,,,UNZONED,,,59,4,UNSCREENED,False
96678JCY1,essential-service water/wastewater revenue,,4.0,2036-06-01,103.486,0.03004,0.0604,False,,,,,,,UNZONED,,,13,1,UNSCREENED,False
973517NW1,Windsor Unified,Sonoma,4.0,2044-08-01,99.835,0.04046,0.0813,False,99.2,82.5,0.205,Relatively High,2.14,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,45,3,FLAG,False
979585BP0,essential-service water/wastewater revenue,,3.0,2034-03-01,97.136,0.034249999999999996,0.0654,True,,,,,,,UNZONED,88,N/A-REVENUE,33,5,CLEAR,False
979585BZ8,essential-service water/wastewater revenue,,3.2,2039-03-01,96.908,0.03648,0.0733,False,,,,,,,UNZONED,88,N/A-REVENUE,29,6,CLEAR,False
988176HN6,YUBA CCD-REF,,3.0,2034-08-01,99.003,0.03139,0.0631,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,47,3,CLEAR,False
988176HQ9,YUBA CCD-REF,,3.0,2036-08-01,92.87,0.04133,0.074,True,,,,,,,UNZONED,90,NOT-COVERED-CC,76,8,REVIEW,False
988176HR7,YUBA CCD-REF,,3.0,2037-08-01,90.755,0.04035999999999999,0.0737,True,99.2,,,,,,UNZONED,90,CC-ACCREDITED,111,8,CLEAR,False
98840BAW3,essential-service water/wastewater revenue,,4.0,2046-09-01,96.939,0.04262,0.0857,False,,,,,,,UNZONED,,,46,5,UNSCREENED,False
