cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
801495V90,Santa Clara Unified,Santa Clara,3.0,2035-07-01,96.52,0.03445,0.0658,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),22,1,REVIEW,False
801495W40,Santa Clara Unified,Santa Clara,3.0,2038-07-01,91.775,0.03325,0.0663,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),23,1,REVIEW,False
801495W65,Santa Clara Unified,Santa Clara,3.0,2040-07-01,88.9,0.040369999999999996,0.0745,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),57,5,REVIEW,False
801495W73,Santa Clara Unified,Santa Clara,3.0,2041-07-01,84.496,0.04417,0.08,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),30,6,REVIEW,False
801495Y89,Santa Clara Unified,Santa Clara,3.0,2035-07-01,96.236,0.03117,0.0627,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),64,6,REVIEW,False
801495Z39,Santa Clara Unified,Santa Clara,3.0,2038-07-01,93.81,0.03629,0.0686,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),84,5,REVIEW,False
801495Z47,Santa Clara Unified,Santa Clara,3.0,2039-07-01,88.87,0.04063,0.0747,True,99.2,23.9,0.0,Very Low,1.57,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),125,18,REVIEW,False
801686RM0,SANTA CLARITA CCD,,4.0,2042-08-01,99.015,0.040490000000000005,0.0814,False,99.2,23.9,0.0,Very Low,,,UNZONED,90,CC-UNKNOWN,164,2,REVIEW,False
801686SG2,SANTA CLARITA CA,,3.0,2044-08-01,79.195,0.04715,0.0854,True,99.2,23.9,0.0,Very Low,,,UNZONED,90,CC-UNKNOWN,38,5,REVIEW,False
801686SJ6,SANTA CLARITA CA,,3.0,2041-08-01,85.306,0.04321,0.0787,True,99.2,23.9,0.0,Very Low,,,UNZONED,90,CC-UNKNOWN,33,7,REVIEW,True
801716KU4,Santa Cruz City Elementary,Santa Cruz,4.0,2045-08-01,99.945,0.03834,0.0771,False,99.2,63.6,0.135,Relatively High,1.5,BAY (San Andreas N / Hayward),HIGH,90,UNRESOLVED-AMBIG,126,8,FLAG,False
801733JZ0,Santa Cruz City High,Santa Cruz,4.0,2040-08-01,99.76,0.03681,0.074,False,99.2,68.9,0.343,Relatively High,1.5,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),70,4,FLAG,False
801733MP8,Santa Cruz City High,Santa Cruz,4.0,2044-08-01,99.995,0.04,0.0804,False,99.2,68.9,0.343,Relatively High,1.5,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),71,6,FLAG,False
802199AJ8,essential-service water/wastewater revenue,,4.0,2043-05-01,98.877,0.040510000000000004,0.0814,False,,,,,,,UNZONED,,N/A-REVENUE,35,6,REVIEW,False
802309NS9,CA school/CC district GO,,3.0,2042-08-01,87.672,0.04638,0.0809,True,,,,,,,UNZONED,,,43,3,UNSCREENED,False
80234TBP0,essential-service water/wastewater revenue,,3.0,2034-02-01,98.792,0.03108,0.0625,False,,,,,,,UNZONED,,N/A-REVENUE,20,2,CLEAR,False
802490AU6,essential-service water/wastewater revenue,,3.0,2041-08-01,86.518,0.037559999999999996,0.0726,True,,,,,,,UNZONED,,N/A-REVENUE,22,4,UNSCREENED,False
802552CJ6,Santa Paula Unified,Ventura,4.0,2042-08-01,98.861,0.04088,0.0822,False,99.2,92.4,0.87,Very High,2.19,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),62,2,FLAG,False
802557BS6,Santa Paula Unified,Ventura,4.0,2038-02-01,101.496,0.03402,0.0684,False,,92.4,0.87,Very High,2.19,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),20,4,UNSCREENED,False
